appid,name,total_reviews,positive_reviews_percent,developer,publisher,metacritic_score,is_free,genre1,genre2,genre3,price,peak
355520,The Albino Hunter™ (Original),335,0.746268657,Cherry Co. Studios,Cherry Co. Studios,50,0,25,23,3,1850,431
355530,Last Word,383,0.830287206,Twelve Tiles,KOMODO,67,0,25,4,23,3695,55
355560,Trigger Runners,64,0.765625,EfrenStudios,Karaokulta Games,50,0,1,25,23,725,199
355630,Leo's Fortune,335,0.925373134,1337 & Senri AB,Tilting Point,50,0,25,23,-1,2595,54
354860,The Adventures of Tree,476,0.779411765,Dune Clockidy,Dune Clockidy,50,0,25,23,3,2595,1869
354900,Headcrab Frenzy!,351,0.917378917,Crystice Softworks,Crystice Softworks,50,1,1,4,37,0,10
354920,Pester,106,0.537735849,Flump Studios,Funbox Media Ltd,50,0,23,-1,-1,350,1004
354950,East Tower - Akio (ET Series Vol. 1),72,0.694444444,ROSEVERTE,ROSEVERTE,50,0,25,4,23,1850,48
354960,An Imp? A Fiend!,68,0.529411765,Blaze Epic,Blaze Epic,50,0,1,25,23,350,304
354970,Shin Samurai Jazz,90,0.633333333,Blaze Epic,Blaze Epic,50,0,1,25,23,350,7
355010,Race Arcade,82,0.695121951,Iceflake Studios,Paradox Interactive,50,0,23,9,18,4395,21
355020,Bomb The Monsters!,187,0.684491979,Finalboss game studio,Trinity Project,50,0,1,25,4,350,3328
355050,Sky Force Anniversary,1918,0.924921794,Infinite Dreams,Infinite Dreams,50,0,1,23,-1,3695,212
355060,Sebastien Loeb Rally EVO,889,0.547806524,Milestone S.r.l.,Milestone S.r.l.,50,0,9,28,18,7395,227
355070,TDP5 Arena 3D,221,0.466063348,Javelin OÜ,Javelin OÜ,50,1,1,37,29,0,91
355100,Dungeon Crawlers HD,79,0.481012658,Drowning Monkeys Games,Drowning Monkeys Games,50,0,23,3,2,0,184
355130,MotoGP™15,883,0.784824462,Milestone S.r.l.,Milestone S.r.l.,50,0,9,28,18,4000,275
355150,gravilon,1247,0.603047314,Default_Name,,50,0,25,23,2,1095,938
355170,Sam & Max Hit the Road,630,0.958730159,Lucasfilm,Lucasfilm,50,0,25,-1,-1,2195,40
355180,Codename CURE,16205,0.845047825,Hoobalugalar_X,Hoobalugalar_X,50,1,1,37,-1,0,1280
354500,PAYDAY: The Web Series,1292,0.911764706,OVERKILL - a Starbreeze Studio.,505 Games US,50,1,-1,-1,-1,0,-1
354560,We Are Legion,137,0.306569343,Pwnee Studios,Pwnee Studios,50,0,23,2,-1,0,15
354600,Decisive Campaigns: Case Blue,56,0.892857143,VR Designs,Slitherine Ltd.,50,0,28,2,-1,14995,19
354620,Miner Warfare,145,0.820689655,Heartbit Interactive,Heartbit Interactive,50,0,1,4,23,1095,271
